Module,PROBE_ID
M2.2,ILMN_2241750
M2.2,ILMN_1751871
M2.2,ILMN_1831826
M2.2,ILMN_1683231
M2.2,ILMN_1719163
M2.2,ILMN_1778121
M2.2,ILMN_1891233
M2.2,ILMN_1655194
M2.2,ILMN_1891324
M2.2,ILMN_1698745
M2.2,ILMN_2287535
M2.2,ILMN_1737849
M2.2,ILMN_1812473
M2.2,ILMN_1729455
M2.2,ILMN_1675454
M2.2,ILMN_1778053
M2.2,ILMN_1690268
M2.2,ILMN_2091221
M2.2,ILMN_1790253
M2.2,ILMN_1760479
M2.2,ILMN_1688475
M2.2,ILMN_1716591
M2.2,ILMN_1856609
M2.2,ILMN_1764456
M2.2,ILMN_1803774
M2.2,ILMN_1808272
M2.2,ILMN_1677942
M2.2,ILMN_1801491
M2.2,ILMN_1719343
M2.2,ILMN_1727815
M2.2,ILMN_1683456
M2.2,ILMN_1903693
M2.2,ILMN_1758846
M2.2,ILMN_2201386
M2.2,ILMN_1829707
M2.2,ILMN_2377199
M2.3,ILMN_1742410
M2.3,ILMN_1782429
M2.3,ILMN_1709634
M2.3,ILMN_1721901
M2.3,ILMN_1796397
M2.3,ILMN_1696512
M2.3,ILMN_1733581
M2.3,ILMN_1684694
M2.3,ILMN_1684227
M2.3,ILMN_1729112
M2.3,ILMN_1746788
M2.3,ILMN_1659024
M2.3,ILMN_1811470
M2.3,ILMN_1843585
M2.3,ILMN_1659027
M2.3,ILMN_1735712
M2.3,ILMN_1701933
M2.3,ILMN_1781966
M2.3,ILMN_1680652
M2.3,ILMN_1714445
M2.3,ILMN_1704079
M2.3,ILMN_2400322
M2.3,ILMN_1736911
M2.3,ILMN_1778374
M2.3,ILMN_1707304
M2.3,ILMN_1694476
M2.3,ILMN_1705750
M2.3,ILMN_1810712
M2.3,ILMN_1720373
M2.3,ILMN_1759155
M2.3,ILMN_1776333
M2.3,ILMN_1784207
M2.3,ILMN_1672024
M2.3,ILMN_1811410
M2.3,ILMN_1709092
M2.3,ILMN_1774091
M2.3,ILMN_1707720
M2.3,ILMN_1806349
M2.3,ILMN_1695187
M2.3,ILMN_1694325
M2.3,ILMN_1677318
M2.3,ILMN_1785141
M2.3,ILMN_1814397
M2.3,ILMN_1678919
M2.3,ILMN_1812163
M2.3,ILMN_1743241
M2.3,ILMN_1708016
M2.3,ILMN_2152465
M2.3,ILMN_1704446
M2.3,ILMN_1772809
M2.3,ILMN_1805561
M2.3,ILMN_1729487
M2.3,ILMN_1683093
M2.3,ILMN_1743232
M2.3,ILMN_1697777
M2.3,ILMN_1675421
M2.3,ILMN_1759117
M2.3,ILMN_1815527
M2.3,ILMN_1807919
M2.3,ILMN_1652431
M2.3,ILMN_1718961
M2.3,ILMN_1806456
M2.3,ILMN_1716089
M2.3,ILMN_1865735
M2.3,ILMN_1766165
M2.3,ILMN_2352926
M2.3,ILMN_1905548
M2.3,ILMN_1705458
M2.3,ILMN_2049228
M2.3,ILMN_1776998
M2.3,ILMN_1801313
M2.3,ILMN_1794074
M2.3,ILMN_1702447
M2.3,ILMN_1708323
M2.3,ILMN_1713266
M3.1,ILMN_1688240
M3.1,ILMN_1714765
M3.1,ILMN_1815306
M3.1,ILMN_1783156
M3.1,ILMN_1741632
M3.1,ILMN_1797251
M3.1,ILMN_1765208
M3.1,ILMN_2303166
M3.1,ILMN_1772731
